3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,531
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,2915
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,2654
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,268
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,539
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,938
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,2161
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,261
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,1100
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,1082
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,599
3,2,1,70,60,50,4,5,6,11,12,13,14,7,6,5,4,8,9,10,2,15,689
